norm,position,adp,value,wk_p90,wk_p10,role,finish,season,ceiling,floor,value_rk,adp_rk,ceiling_rk,floor_rk,role_rk,_c
raheem mostert,RB,101.9,-148.6,2.0,2.0,2.0,170.3,2022,2.0,2.0,122.0,96.0,124.0,109.0,124.0,113.94999999999999
robert woods,WR,102.5,-33.00000000000003,21.96,10.24,77.0,117.7,2022,21.96,10.24,99.0,97.0,66.0,21.0,105.0,87.89999999999999
kadarius toney,WR,102.7,-85.84000000000002,17.040000000000003,1.78,60.0,59.300000000000004,2022,17.040000000000003,1.78,115.0,98.0,105.0,113.0,117.0,108.25999999999999
derek carr,QB,103.1,-5.060000000000002,26.524,12.296000000000001,312.96000000000004,267.08,2022,26.524,12.296000000000001,82.0,99.0,41.0,10.0,15.0,64.63
cole kmet,TE,103.6,-37.8,13.660000000000002,1.9000000000000001,94.0,147.29999999999998,2022,13.660000000000002,1.9000000000000001,103.0,100.0,119.0,110.0,98.0,104.72
kenneth gainwell,RB,105.8,-27.200000000000003,19.2,0.75,118.0,87.9,2022,19.2,0.75,94.0,101.0,98.0,122.0,80.0,96.68
kirk cousins,QB,108.6,52.31999999999999,31.25,14.82,370.34000000000003,349.58,2022,31.25,14.82,50.0,102.0,21.0,5.0,11.0,51.379999999999995
j d mckissic,RB,110.2,-22.69999999999999,20.3,1.7000000000000002,101.0,53.8,2022,20.3,1.7000000000000002,88.0,103.0,91.0,116.0,93.0,95.75
dawson knox,TE,111.5,3.0999999999999943,20.02,2.9800000000000004,71.0,135.7,2022,20.02,2.9800000000000004,78.0,104.0,94.0,99.0,110.0,94.95
darrell henderson,RB,111.9,12.800000000000011,21.800000000000004,5.040000000000001,189.0,73.5,2022,21.800000000000004,5.040000000000001,72.0,105.0,70.0,67.0,45.0,77.13999999999999
tyler lockett,WR,112.5,71.19999999999999,26.6,4.9,109.0,241.3,2022,26.6,4.9,37.0,106.0,40.0,69.0,86.0,67.83
michael carter,RB,113.3,5.800000000000011,18.34,3.0,202.0,128.0,2022,18.34,3.0,75.0,107.0,103.0,98.0,43.0,86.45
antonio gibson,RB,114.7,84.5,21.95,7.0,310.0,165.9,2022,21.95,7.0,27.0,108.0,69.0,38.0,16.0,57.98
michael gallup,WR,118.2,-76.70000000000002,14.8,7.0,62.0,105.4,2022,14.8,7.0,111.0,109.0,114.0,38.0,116.0,106.57999999999998
t j hockenson,TE,120.2,-15.699999999999989,20.430000000000003,3.12,84.0,213.4,2022,20.430000000000003,3.12,85.0,110.0,89.0,96.0,101.0,96.38999999999999
julio jones,WR,120.9,-87.80000000000001,17.0,1.5300000000000002,48.0,70.4,2022,17.0,1.5300000000000002,116.0,111.0,106.0,118.0,120.0,113.44
tua tagovailoa,QB,121.2,-105.10000000000005,24.660000000000004,7.444,212.92,282.92,2022,24.660000000000004,7.444,118.0,112.0,50.0,33.0,41.0,86.46000000000001
jamaal williams,RB,121.7,-30.799999999999997,14.44,2.660000000000001,181.0,227.9,2022,14.44,2.660000000000001,97.0,113.0,116.0,103.0,46.0,97.99000000000001
tyler boyd,WR,123.0,15.639999999999986,20.17,2.7,96.0,165.12,2022,20.17,2.7,70.0,114.0,93.0,102.0,96.0,93.47999999999999
alexander mattison,RB,128.9,-22.700000000000003,22.25,1.15,173.0,88.4,2022,22.25,1.15,89.0,115.0,65.0,119.0,50.0,88.73
marquez valdes scantling,WR,129.0,-81.20000000000002,20.8,0.0,55.0,122.4,2022,20.8,0.0,112.0,116.0,83.0,124.0,119.0,109.87
matt ryan,QB,132.9,-49.10000000000002,28.356,5.264000000000001,268.92,193.28,2022,28.356,5.264000000000001,107.0,117.0,31.0,64.0,25.0,81.01
chase claypool,WR,133.7,-1.6000000000000227,18.36,4.1000000000000005,119.0,109.04,2022,18.36,4.1000000000000005,81.0,118.0,102.0,81.0,79.0,95.58
hunter henry,TE,134.1,5.300000000000011,19.6,3.95,75.0,103.9,2022,19.6,3.95,76.0,119.0,95.0,86.0,107.0,97.66999999999999
devante parker,WR,134.9,-64.70000000000002,16.98,7.199999999999999,73.0,102.9,2022,16.98,7.199999999999999,109.0,120.0,107.0,34.0,108.0,106.53999999999998
justin fields,QB,138.0,-167.22000000000003,24.014,4.0440000000000005,150.8,331.98,2022,24.014,4.0440000000000005,123.0,121.0,54.0,85.0,61.0,98.02
rondale moore,WR,142.5,-57.10000000000002,15.680000000000003,2.61,82.0,87.9,2022,15.680000000000003,2.61,108.0,122.0,110.0,104.0,102.0,111.38
trevor lawrence,QB,142.9,-88.98000000000002,23.060000000000002,6.128,229.04000000000002,357.62,2022,23.060000000000002,6.128,117.0,123.0,59.0,52.0,34.0,91.36
robert tonyan,TE,147.9,-108.6,14.83,1.74,29.0,112.0,2022,14.83,1.74,119.0,124.0,113.0,115.0,122.0,119.58999999999999
justin jefferson,WR,1.4,194.26000000000002,34.099999999999994,5.540000000000001,188.0,204.2,2023,34.099999999999994,5.540000000000001,3.0,1.0,11.0,59.0,47.0,14.36
christian mccaffrey,RB,2.4,200.96,30.099999999999998,11.66,352.0,395.3,2023,30.099999999999998,11.66,2.0,2.0,20.0,12.0,10.0,7.14
ja marr chase,WR,2.4,74.0,31.870000000000005,12.01,139.0,262.72,2023,31.870000000000005,12.01,25.0,2.0,15.0,11.0,67.0,21.619999999999997
tyreek hill,WR,4.4,168.79999999999998,30.42,9.920000000000002,177.0,378.40000000000003,2023,30.42,9.920000000000002,7.0,4.0,18.0,22.0,51.0,15.729999999999997
austin ekeler,RB,5.0,221.29999999999998,35.300000000000004,12.46,331.0,193.4,2023,35.300000000000004,12.46,1.0,5.0,7.0,10.0,16.0,6.16
travis kelce,TE,5.9,173.10000000000002,29.060000000000002,9.98,154.0,221.4,2023,29.060000000000002,9.98,4.0,6.0,25.0,21.0,57.0,17.52
cooper kupp,WR,7.0,31.0,32.2,13.7,107.0,162.4,2023,32.2,13.7,53.0,7.0,14.0,5.0,92.0,34.67
stefon diggs,WR,8.5,144.20000000000002,28.5,8.45,155.0,273.8,2023,28.5,8.45,11.0,8.0,29.0,32.0,55.0,21.409999999999997
saquon barkley,RB,9.0,124.6,25.15,7.050000000000001,371.0,225.20000000000002,2023,25.15,7.050000000000001,14.0,9.0,37.0,46.0,8.0,17.98
ceedee lamb,WR,11.0,129.20000000000002,27.220000000000006,9.02,166.0,405.20000000000005,2023,27.220000000000006,9.02,13.0,10.0,32.0,28.0,54.0,22.72
a j brown,WR,12.5,131.20000000000002,29.020000000000003,9.08,145.0,293.6,2023,29.020000000000003,9.08,12.0,11.0,26.0,27.0,61.0,22.619999999999997
nick chubb,RB,12.5,124.00000000000003,24.200000000000003,8.24,339.0,23.1,2023,24.200000000000003,8.24,15.0,11.0,49.0,34.0,13.0,20.95
amon ra st brown,WR,13.2,95.20000000000002,31.25,7.65,155.0,332.90000000000003,2023,31.25,7.65,18.0,13.0,16.0,35.0,55.0,22.88
tony pollard,RB,15.2,91.4,29.150000000000002,3.0500000000000003,248.0,222.6,2023,29.150000000000002,3.0500000000000003,21.0,14.0,23.0,100.0,33.0,26.59
garrett wilson,WR,15.6,45.29999999999998,25.08,4.16,151.0,217.2,2023,25.08,4.16,45.0,15.0,40.0,80.0,59.0,39.65
davante adams,WR,15.6,163.1,35.22,5.48,183.0,265.40000000000003,2023,35.22,5.48,8.0,15.0,9.0,60.0,50.0,20.22
derrick henry,RB,17.9,153.35999999999999,27.28,8.350000000000001,390.0,250.66000000000003,2023,27.28,8.350000000000001,9.0,17.0,31.0,33.0,6.0,16.59
patrick mahomes,QB,19.6,172.39999999999998,38.744,19.072000000000003,493.4,340.22,2023,38.744,19.072000000000003,6.0,18.0,3.0,2.0,1.0,8.03
jaylen waddle,WR,19.9,88.79999999999998,27.42,5.220000000000001,120.0,198.6,2023,27.42,5.220000000000001,22.0,19.0,30.0,65.0,79.0,34.1
chris olave,WR,20.4,27.80000000000001,19.76,7.54,119.0,229.3,2023,19.76,7.54,55.0,20.0,85.0,38.0,80.0,52.459999999999994
josh jacobs,RB,21.9,172.9,35.3,7.24,404.0,183.1,2023,35.3,7.24,5.0,21.0,8.0,42.0,5.0,12.93
devonta smith,WR,23.3,84.20000000000002,25.080000000000005,4.5,136.0,229.6,2023,25.080000000000005,4.5,23.0,22.0,39.0,75.0,69.0,36.12
rhamondre stevenson,RB,23.4,93.69999999999999,24.2,5.06,298.0,147.70000000000002,2023,24.2,5.06,20.0,23.0,50.0,66.0,20.0,29.52
jonathan taylor,RB,25.9,-5.0,24.300000000000004,5.3,232.0,156.4,2023,24.300000000000004,5.3,85.0,24.0,48.0,63.0,37.0,51.3
josh allen,QB,26.6,150.51999999999998,40.42,22.099999999999998,471.52,452.64,2023,40.42,22.099999999999998,10.0,25.0,2.0,1.0,2.0,11.23
tee higgins,WR,26.6,46.5,25.1,6.5,109.0,137.6,2023,25.1,6.5,42.0,25.0,38.0,49.0,88.0,43.57
jalen hurts,QB,26.9,101.04000000000002,35.848,17.936,422.04,412.82,2023,35.848,17.936,16.0,27.0,6.0,3.0,3.0,14.639999999999999
mark andrews,TE,28.9,45.30000000000001,24.860000000000003,3.58,116.0,135.4,2023,24.860000000000003,3.58,44.0,28.0,44.0,90.0,83.0,48.27000000000001
keenan allen,WR,29.2,-6.400000000000006,22.279999999999998,9.850000000000001,90.0,282.86,2023,22.279999999999998,9.850000000000001,86.0,29.0,66.0,23.0,106.0,63.88999999999999
najee harris,RB,30.4,70.06,17.720000000000002,8.9,325.0,197.5,2023,17.720000000000002,8.9,30.0,30.0,98.0,29.0,17.0,40.22
dk metcalf,WR,30.8,58.400000000000006,20.76,4.120000000000001,141.0,225.4,2023,20.76,4.120000000000001,35.0,31.0,75.0,81.0,65.0,48.72
joe mixon,RB,31.4,82.1,20.480000000000004,9.56,285.0,265.0,2023,20.480000000000004,9.56,24.0,32.0,78.0,25.0,22.0,35.88999999999999
travis etienne,RB,34.7,51.70000000000002,23.880000000000003,3.2,265.0,278.4,2023,23.880000000000003,3.2,40.0,33.0,53.0,95.0,29.0,42.44
amari cooper,WR,35.4,73.6,25.26,5.6000000000000005,132.0,227.0,2023,25.26,5.6000000000000005,26.0,34.0,36.0,58.0,71.0,39.19
breece hall,RB,36.6,-40.3,23.140000000000004,12.64,111.0,288.5,2023,23.140000000000004,12.64,103.0,35.0,59.0,8.0,85.0,65.33
lamar jackson,QB,36.9,-48.920000000000016,45.30000000000001,11.136,272.08,389.22,2023,45.30000000000001,11.136,107.0,36.0,1.0,16.0,27.0,48.24999999999999
deebo samuel,WR,37.2,0.0,21.200000000000003,7.140000000000001,136.0,243.7,2023,21.200000000000003,7.140000000000001,81.0,37.0,73.0,44.0,69.0,61.97
aaron jones,RB,38.9,95.19999999999999,25.6,7.04,285.0,136.9,2023,25.6,7.04,19.0,38.0,35.0,47.0,22.0,29.990000000000002
deandre hopkins,WR,41.4,-18.700000000000017,23.020000000000003,10.68,96.0,223.6,2023,23.020000000000003,10.68,97.0,39.0,60.0,18.0,101.0,68.00999999999999
joe burrow,QB,43.2,99.69999999999999,36.6,17.92,420.7,179.16,2023,36.6,17.92,17.0,40.0,5.0,4.0,4.0,18.880000000000003
drake london,WR,44.1,10.199999999999989,17.16,4.42,117.0,172.38,2023,17.16,4.42,67.0,41.0,106.0,76.0,81.0,68.95
t j hockenson,TE,44.2,70.20000000000002,23.960000000000008,4.4,129.0,221.0,2023,23.960000000000008,4.4,29.0,42.0,52.0,77.0,72.0,46.849999999999994
dj moore,WR,44.7,26.700000000000017,21.660000000000004,2.3,128.0,288.5,2023,21.660000000000004,2.3,56.0,43.0,71.0,112.0,74.0,61.42000000000001
jerry jeudy,WR,44.8,31.80000000000001,22.66,2.8000000000000003,104.0,141.8,2023,22.66,2.8000000000000003,50.0,44.0,64.0,102.0,93.0,60.81
kenneth walker,RB,47.9,45.099999999999994,24.339999999999996,3.54,263.0,199.4,2023,24.339999999999996,3.54,46.0,45.0,47.0,92.0,30.0,46.699999999999996
christian watson,WR,48.6,-8.299999999999983,23.410000000000004,2.1300000000000003,73.0,101.3,2023,23.410000000000004,2.1300000000000003,90.0,46.0,58.0,113.0,114.0,76.25
