season,name,position,team,adp,nn
2021,Julio Jones,WR,,40.0,julio jones
2021,Amari Cooper,WR,,41.8,amari cooper
2021,Miles Sanders,RB,,42.2,miles sanders
2021,Cooper Kupp,WR,SEA,43.3,cooper kupp
2021,Darrell Henderson,RB,,44.0,darrell henderson
2021,Chris Godwin,WR,TB,44.8,chris godwin
2021,Robert Woods,WR,,46.7,robert woods
2021,Russell Wilson,QB,,47.4,russell wilson
2021,Mark Andrews,TE,BAL,47.5,mark andrews
2021,Adam Thielen,WR,,49.6,adam thielen
2021,DJ Moore,WR,BUF,50.5,dj moore
2021,Tyler Lockett,WR,,51.0,tyler lockett
2021,Kareem Hunt,RB,,52.0,kareem hunt
2021,Aaron Rodgers,QB,PIT,54.0,aaron rodgers
2021,Justin Herbert,QB,LAC,55.2,justin herbert
2021,T.J. Hockenson,TE,MIN,55.7,t j hockenson
2021,Myles Gaskin,RB,,57.0,myles gaskin
2021,Diontae Johnson,WR,,58.2,diontae johnson
2021,Dak Prescott,QB,DAL,59.5,dak prescott
2021,Ja'Marr Chase,WR,CIN,60.8,ja marr chase
2021,Brandon Aiyuk,WR,SF,61.8,brandon aiyuk
2021,Javonte Williams,RB,DAL,62.4,javonte williams
2021,Michael Thomas,WR,,63.0,michael thomas
2021,Odell Beckham,WR,NYG,63.4,odell beckham
2021,Mike Davis,RB,,63.9,mike davis
2021,Tee Higgins,WR,CIN,65.2,tee higgins
2021,Chase Edmonds,RB,,66.4,chase edmonds
2021,JuJu Smith-Schuster,WR,NYG,67.5,juju smith schuster
2021,Gus Edwards,RB,,68.0,gus edwards
2021,Tom Brady,QB,,68.8,tom brady
2021,Kenny Golladay,WR,,69.8,kenny golladay
2021,Chase Claypool,WR,,70.0,chase claypool
2021,Jerry Jeudy,WR,CLE,71.6,jerry jeudy
2021,Raheem Mostert,RB,,71.8,raheem mostert
2021,Noah Fant,TE,NO,73.5,noah fant
2021,DeVonta Smith,WR,PHI,74.3,devonta smith
2021,Melvin Gordon,RB,,77.9,melvin gordon
2021,Leonard Fournette,RB,,78.1,leonard fournette
2021,Robbie Chosen,WR,,79.5,robbie chosen
2021,Rob Gronkowski,TE,,79.6,rob gronkowski
2021,Trey Sermon,RB,,81.5,trey sermon
2021,DJ Chark,WR,,82.7,dj chark
2021,Courtland Sutton,WR,DEN,83.1,courtland sutton
2021,Deebo Samuel,WR,SF,84.7,deebo samuel
2021,Damien Harris,RB,,85.2,damien harris
2021,Ronald Jones,RB,,86.5,ronald jones
2021,Matthew Stafford,QB,LAR,87.8,matthew stafford
2021,Dallas Goedert,TE,PHI,87.8,dallas goedert
2021,Jaylen Waddle,WR,DEN,89.3,jaylen waddle
2021,Mike Gesicki,TE,CIN,90.8,mike gesicki
2021,Jarvis Landry,WR,,91.3,jarvis landry
2021,Robert Tonyan,TE,PIT,93.6,robert tonyan
2021,Antonio Brown,WR,,94.5,antonio brown
2021,Laviska Shenault,WR,,95.7,laviska shenault
2021,Brandin Cooks,WR,,95.7,brandin cooks
2021,Ryan Tannehill,QB,,97.5,ryan tannehill
2021,Michael Carter,RB,TEN,98.5,michael carter
2021,Logan Thomas,TE,,99.0,logan thomas
2021,James Conner,RB,ARI,101.4,james conner
2021,Tyler Boyd,WR,,102.1,tyler boyd
2021,Corey Davis,WR,,103.4,corey davis
2021,Trevor Lawrence,QB,JAX,103.8,trevor lawrence
2021,Tyler Higbee,TE,LAR,105.0,tyler higbee
2021,Kenyan Drake,RB,,106.3,kenyan drake
2021,Jalen Hurts,QB,PHI,107.8,jalen hurts
2021,Michael Pittman,WR,PIT,108.6,michael pittman
2021,Zack Moss,RB,,109.6,zack moss
2021,AJ Dillon,RB,CAR,111.6,aj dillon
2021,Joe Burrow,QB,CIN,113.5,joe burrow
2021,Devin Singletary,RB,NYG,114.5,devin singletary
2021,Mike Williams,WR,,115.8,mike williams
2021,William Fuller,WR,,116.0,william fuller
2021,Marquise Brown,WR,PHI,118.9,marquise brown
2021,Curtis Samuel,WR,,119.5,curtis samuel
2021,Michael Gallup,WR,,119.6,michael gallup
2021,David Johnson,RB,,121.9,david johnson
2021,Darnell Mooney,WR,NYG,122.4,darnell mooney
2021,Baker Mayfield,QB,TB,123.9,baker mayfield
2021,Nyheim Miller-Hines,RB,,124.4,nyheim miller hines
2021,Mecole Hardman,WR,BUF,126.9,mecole hardman
2021,Marquez Callaway,WR,,131.9,marquez callaway
2021,Jamaal Williams,RB,,132.8,jamaal williams
2021,Henry Ruggs,WR,,133.8,henry ruggs
2021,Sony Michel,RB,,135.7,sony michel
2021,Justin Fields,QB,KC,135.7,justin fields
2021,Elijah Moore,WR,PHI,137.2,elijah moore
2021,Hunter Henry,TE,NE,138.2,hunter henry
2021,Tony Pollard,RB,TEN,139.1,tony pollard
2021,Jonnu Smith,TE,,140.3,jonnu smith
2021,Trey Lance,QB,LAC,141.3,trey lance
2021,Phillip Lindsay,RB,,142.7,phillip lindsay
2021,Marvin Jones,WR,,143.7,marvin jones
2021,Irv Smith,TE,,151.5,irv smith
2021,Matt Ryan,QB,,153.9,matt ryan
2021,Jakobi Meyers,WR,JAX,154.1,jakobi meyers
2021,Zach Ertz,TE,,155.0,zach ertz
2021,Deshaun Watson,QB,CLE,156.7,deshaun watson
2021,DeVante Parker,WR,,157.4,devante parker
2021,Kirk Cousins,QB,LV,158.7,kirk cousins
2021,Russell Gage,WR,,159.3,russell gage
2021,Evan Engram,TE,DEN,159.9,evan engram
2021,Rashod Bateman,WR,BAL,161.7,rashod bateman
2021,Cole Beasley,WR,,162.7,cole beasley
2021,Jared Cook,TE,,163.9,jared cook
2021,Chuba Hubbard,RB,CAR,164.5,chuba hubbard
2021,J.D. McKissic,RB,,165.2,j d mckissic
2021,Rondale Moore,WR,,167.2,rondale moore
2021,Austin Hooper,TE,ATL,167.9,austin hooper
2021,Nelson Agholor,WR,,170.7,nelson agholor
2021,Alexander Mattison,RB,,171.8,alexander mattison
2021,Latavius Murray,RB,,172.7,latavius murray
2021,Jameis Winston,QB,NYG,175.9,jameis winston
2021,T.Y. Hilton,WR,,178.4,t y hilton
2021,Ben Roethlisberger,QB,PIT,179.6,ben roethlisberger
2021,Mac Jones,QB,SF,180.5,mac jones
2021,Tua Tagovailoa,QB,ATL,181.2,tua tagovailoa
2021,Rhamondre Stevenson,RB,NE,182.0,rhamondre stevenson
2021,Terrace Marshall,WR,MIA,183.2,terrace marshall
2021,Amon-Ra St. Brown,WR,DET,183.2,amon ra st brown
2021,Ryan Fitzpatrick,QB,,185.9,ryan fitzpatrick
2021,Zach Wilson,QB,NO,186.5,zach wilson
2021,Gerald Everett,TE,,187.8,gerald everett
2021,Pat Freiermuth,TE,PIT,188.6,pat freiermuth
2021,Kenny Gainwell,RB,TB,189.1,kenneth gainwell
2021,Randall Cobb,WR,,190.4,randall cobb
2021,Cole Kmet,TE,CHI,191.2,cole kmet
2021,Adam Trautman,TE,DEN,191.9,adam trautman
2021,James White,RB,,193.5,james white
2021,Jalen Reagor,WR,MIA,195.8,jalen reagor
2021,Tevin Coleman,RB,,196.5,tevin coleman
