nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
jordan mason,Jordan Mason,RB,41.0,MIN,0.4609,159.0,16.0,8.06,
jonathon brooks,Jonathon Brooks,RB,38.0,,,,,,
aj barner,AJ Barner,TE,26.0,SEA,0.6667,68.0,17.0,8.66,121.0
jayden higgins,Jayden Higgins,WR,56.0,HOU,0.1965,68.0,17.0,7.62,34.0
travis hunter,Travis Hunter,WR,44.0,,,,,,
zach charbonnet,Zach Charbonnet,RB,43.0,SEA,0.423,184.0,16.0,11.34,52.0
jerry jeudy,Jerry Jeudy,WR,58.0,CLE,0.4569,106.0,17.0,7.1,15.0
c j stroud,C.J. Stroud,QB,24.0,HOU,0.7869,48.0,14.0,14.9,2.0
tyjae spears,Tyjae Spears,RB,46.0,TEN,0.2195,72.0,13.0,8.59,81.0
tyrone tracy,Tyrone Tracy,RB,47.0,NYG,0.4444,176.0,15.0,10.72,166.0
tre tucker,Tre Tucker,WR,63.0,LV,0.3802,92.0,17.0,9.51,100.0
denzel boston,Denzel Boston,WR,62.0,,,,,,39.0
pat freiermuth,Pat Freiermuth,TE,25.0,PIT,0.3576,54.0,15.0,7.57,55.0
blake corum,Blake Corum,RB,39.0,LA,0.3511,145.0,17.0,7.19,83.0
omar cooper,Omar Cooper,WR,60.0,,,,,,30.0
jacory croskey merritt,Jacory Croskey-Merritt,RB,40.0,WAS,0.5072,175.0,17.0,8.25,245.0
matthew golden,Matthew Golden,WR,40.0,GB,0.1624,44.0,14.0,5.0,23.0
woody marks,Woody Marks,RB,42.0,HOU,0.4912,196.0,16.0,9.07,116.0
jalen mcmillan,Jalen McMillan,WR,59.0,TB,0.0413,15.0,4.0,7.47,92.0
jauan jennings,Jauan Jennings,WR,65.0,SF,0.36,90.0,15.0,11.55,217.0
daniel jones,Daniel Jones,QB,21.0,IND,0.7895,45.0,13.0,17.42,6.0
calvin ridley,Calvin Ridley,WR,61.0,TEN,0.1216,36.0,7.0,6.76,26.0
gunnar helm,Gunnar Helm,TE,27.0,TEN,0.3929,55.0,16.0,5.73,120.0
bryce young,Bryce Young,QB,27.0,CAR,0.9153,54.0,16.0,13.63,1.0
chris rodriguez,Chris Rodriguez,RB,48.0,WAS,0.3246,112.0,12.0,7.67,193.0
jalen nailor,Jalen Nailor,WR,69.0,MIN,0.1803,53.0,17.0,5.92,191.0
terrance ferguson,Terrance Ferguson,TE,21.0,LA,0.1667,25.0,11.0,4.74,46.0
isiah pacheco,Isiah Pacheco,RB,45.0,KC,0.3512,118.0,13.0,6.72,251.0
malik willis,Malik Willis,QB,25.0,GB,0.2973,22.0,4.0,12.79,86.0
mason taylor,Mason Taylor,TE,36.0,NYJ,0.6132,65.0,13.0,6.84,42.0
antonio williams,Antonio Williams,WR,71.0,,,,,,71.0
brian robinson,Brian Robinson,RB,50.0,SF,0.2283,92.0,17.0,3.68,98.0
cam ward,Cam Ward,QB,26.0,TEN,1.0,39.0,17.0,10.98,1.0
germie bernard,Germie Bernard,WR,67.0,,,,,,47.0
cade otton,Cade Otton,TE,110.0,TB,0.9419,81.0,15.0,8.15,106.0
cooper kupp,Cooper Kupp,WR,64.0,SEA,0.2414,70.0,16.0,7.27,69.0
aaron rodgers,Aaron Rodgers,QB,29.0,PIT,0.75,21.0,16.0,14.19,24.0
tyler allgeier,Tyler Allgeier,RB,51.0,ATL,0.3257,143.0,17.0,7.24,151.0
evan engram,Evan Engram,TE,111.0,DEN,0.6667,76.0,16.0,6.42,23.0
fernando mendoza,Fernando Mendoza,QB,23.0,,,,,,1.0
david njoku,David Njoku,TE,105.0,CLE,0.284,48.0,11.0,7.85,29.0
adonai mitchell,Adonai Mitchell,WR,84.0,IND,0.0513,16.0,16.0,5.49,52.0
tank dell,Tank Dell,WR,161.0,,,,,,
james conner,James Conner,RB,53.0,ARI,0.1096,32.0,3.0,11.1,105.0
braelon allen,Braelon Allen,RB,52.0,NYJ,0.0541,18.0,4.0,3.83,134.0
malik washington,Malik Washington,WR,162.0,MIA,0.2653,65.0,17.0,6.86,184.0
chimere dike,Chimere Dike,WR,183.0,TEN,0.25,74.0,17.0,7.54,103.0
darnell mooney,Darnell Mooney,WR,163.0,ATL,0.2647,72.0,15.0,5.49,173.0
tyler higbee,Tyler Higbee,TE,30.0,LA,0.24,36.0,10.0,7.11,110.0
colby parkinson,Colby Parkinson,TE,113.0,LA,0.3733,56.0,14.0,9.27,133.0
marvin mims,Marvin Mims,WR,85.0,DEN,0.1453,51.0,15.0,6.33,63.0
keaton mitchell,Keaton Mitchell,RB,113.0,BAL,0.1505,59.0,13.0,4.26,
jacoby brissett,Jacoby Brissett,QB,78.0,ARI,0.5672,38.0,14.0,16.25,91.0
theo johnson,Theo Johnson,TE,109.0,NYG,0.7255,74.0,15.0,8.52,107.0
ja kobi lane,Ja'Kobi Lane,WR,68.0,,,,,,80.0
emmett johnson,Emmett Johnson,RB,54.0,,,,,,161.0
elic ayomanor,Elic Ayomanor,WR,86.0,TEN,0.3007,89.0,16.0,7.28,136.0
troy franklin,Troy Franklin,WR,180.0,DEN,0.2963,104.0,17.0,10.42,102.0
dylan sampson,Dylan Sampson,RB,115.0,CLE,0.1841,65.0,15.0,5.84,126.0
tank bigsby,Tank Bigsby,RB,49.0,PHI,0.1593,58.0,15.0,3.59,88.0
olamide zaccheaus,Olamide Zaccheaus,WR,87.0,CHI,0.2063,65.0,14.0,6.06,
greg dulcich,Greg Dulcich,TE,106.0,MIA,0.3235,33.0,9.0,6.98,80.0
geno smith,Geno Smith,QB,79.0,LV,0.8723,41.0,15.0,11.59,39.0
jonah coleman,Jonah Coleman,RB,57.0,,,,,,108.0
justice hill,Justice Hill,RB,114.0,BAL,0.0459,18.0,10.0,6.52,113.0
christian kirk,Christian Kirk,WR,184.0,HOU,0.1503,52.0,11.0,5.26,47.0
mike gesicki,Mike Gesicki,TE,112.0,CIN,0.3256,42.0,12.0,5.89,42.0
zachariah branch,Zachariah Branch,WR,88.0,,,,,,79.0
tyquan thornton,Tyquan Thornton,WR,89.0,KC,0.1186,37.0,12.0,6.73,50.0
darius slayton,Darius Slayton,WR,156.0,NYG,0.2093,63.0,14.0,7.06,171.0
noah gray,Noah Gray,TE,37.0,KC,0.2517,37.0,14.0,2.77,162.0
rashod bateman,Rashod Bateman,WR,178.0,BAL,0.1801,38.0,13.0,4.26,27.0
kayshon boutte,Kayshon Boutte,WR,179.0,NE,0.1625,46.0,14.0,8.86,187.0
isaac teslaa,Isaac TeSlaa,WR,90.0,DET,0.0806,27.0,14.0,5.42,70.0
darnell washington,Darnell Washington,TE,28.0,PIT,0.2848,43.0,13.0,5.65,93.0
marquise brown,Marquise Brown,WR,91.0,KC,0.2372,74.0,16.0,8.61,25.0
john metchie,John Metchie,WR,92.0,NYJ,0.1624,44.0,13.0,5.53,44.0
malachi fields,Malachi Fields,WR,72.0,,,,,,74.0
eli raridon,Eli Raridon,TE,31.0,,,,,,95.0
tre harris,Tre' Harris,WR,176.0,LAC,0.1162,43.0,16.0,4.34,55.0
ty johnson,Ty Johnson,RB,108.0,BUF,0.1193,50.0,17.0,5.9,186.0
ryan flournoy,Ryan Flournoy,WR,170.0,DAL,0.1447,56.0,15.0,7.6,216.0
kimani vidal,Kimani Vidal,RB,109.0,LAC,0.4318,155.0,13.0,9.07,181.0
skyler bell,Skyler Bell,WR,73.0,,,,,,125.0
samaje perine,Samaje Perine,RB,116.0,CIN,0.2515,84.0,15.0,5.19,114.0
emari demercado,Emari Demercado,RB,97.0,ARI,0.1507,44.0,12.0,4.86,
dawson knox,Dawson Knox,TE,32.0,BUF,0.405,49.0,16.0,6.48,96.0
xavier legette,Xavier Legette,WR,157.0,CAR,0.2215,64.0,15.0,5.95,32.0
oscar delp,Oscar Delp,TE,38.0,,,,,,73.0
