full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,fp_total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,floor_healthy,ceiling_healthy,xppg,xppg_diff,switched_team,regression
Marvin Mims,WR,DEN,24.0,10.0,Active,3.0,9494,,,fcd780e6-6d43-4c2e-b740-59ae09911345,00-0038976,0.0,0.0,42.0,0.0,13.0,39.0,503.0,6.0,52.0,0.0,0.0,78.0,1.0,12.0,37.0,322.0,1.0,51.0,0.2694117647058823,0.0947176684881603,0.3686666666666667,0.0873287671232876,169.9,169.9,264.0,12.0,2 out of 5 stars,66.7,66.54,9.315068651589936,75.85506865158995,75.85506865158995,-135.3087866748998,32.0,6.828125,7.453435422459512,0.09375,0.65625,1.0915786431061985,False,,0.932705882352941,51.97120908938329,98.23619984394156,40.899895016569005,114.26328931101392,0.0,0.0002,0.00175,0.0,0.0008,0.9992,54.29901887409978,94.94339919221636,6.201764705882353,1.301176470588235,False,TD-lucky
Hayden Hurst,TE,,31.0,,Active,7.0,4973,3924365.0,30995.0,1b125fc4-5dd9-4eb9-a42f-048e61ca42b7,00-0034830,0.0,0.0,0.0,0.0,0.0,8.0,73.0,0.0,13.0,,,,,,,,,,0.3311111111111111,0.0264765784114052,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Michael Penix,QB,ATL,26.0,11.0,Active,2.0,11559,,,6499a161-b221-4591-b122-d99ece1be64b,00-0039917,775.0,3.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0,1982.0,9.0,70.0,1.0,21.0,0.0,0.0,0.0,0.0,0.664,,0.9322222222222224,,170.0,170.0,266.0,12.0,4 out of 5 stars,83.5,94.294,5.711520931827766,100.00552093182776,100.00552093182776,-262.6282495626115,14.0,13.598571428571429,9.997865816219024,0.2142857142857142,0.4285714285714285,0.7352144207745894,False,,,75.20585375139116,124.9766316073774,61.72987182076835,141.8038164090041,0.0,0.0012,0.95085,0.0,0.0,1.0,76.77030128527166,120.62300666672289,13.288571428571428,-1.2614285714285707,False,Sustainable
Carnell Tate,WR,TEN,21.0,9.0,Active,0.0,13279,,,a8693aee-cde4-464f-a0d8-355fb72c041d,TAT143045,,,,,,,,,,,,,,,,,,,,,,,60.4,60.4,63.0,6.0,3 out of 5 stars,181.4,181.07,21.01358987964641,199.0869894553528,202.0835898796464,-12.07686587113696,,,,,,,True,4.0,,133.64900074147732,287.8430671619106,102.50698036431277,344.1308234610779,0.1867,0.1647,0.1541,0.05365,0.4289,0.5711,140.8320068721645,278.72892108904995,,,False,
Mike Gesicki,TE,CIN,30.0,6.0,Active,8.0,4993,3116164.0,31012.0,1012cbe0-7eba-4169-bfca-183a0204e1a7,00-0034829,0.0,0.0,0.0,0.0,0.0,65.0,665.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,28.0,307.0,2.0,42.0,0.4476470588235294,0.1321656050955414,0.3853846153846154,0.069078947368421,170.7,170.7,305.0,13.0,3 out of 5 stars,113.1,113.31000000000002,13.62978072877295,122.22897163897954,126.93978072877296,-54.44334114815348,28.0,7.65,6.790707157852096,0.1428571428571428,0.3928571428571428,0.8876741382813197,False,,0.8548823529411765,83.31864573540953,158.34349514355733,63.79390122513798,183.72536856827077,0.10035,0.303,0.3767,0.0077,0.10035,0.89965,91.7582105836901,150.06723703881335,7.972857142857143,-0.39428571428571413,False,Sustainable
,DEF,LAR,,11.0,,,LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Amar Johnson,RB,LAC,23.0,7.0,Active,1.0,12928,,,9ec3d420-250a-11f0-aaad-b190600d09cf,00-0040039,,,,,,,,,,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,,,0.04,0.0018382352941176,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Gus Edwards,RB,,29.0,,Active,7.0,5248,3051926.0,31424.0,3ffc3993-461e-4477-9def-c9633b7feac1,00-0034184,0.0,0.0,365.0,4.0,101.0,3.0,6.0,0.0,5.0,,,,,,,,,,0.3472727272727272,0.010183299389002,,,170.0,170.0,,,,,,,,,,11.0,5.827272727272727,5.366952749762366,0.0909090909090909,0.7272727272727273,0.921005932096506,False,,0.766764705882353,,,,,,,,,,,,,6.355,-0.830000000000001,False,Sustainable
Troy Franklin,WR,DEN,23.0,10.0,Active,2.0,11627,,,765dffd8-8112-4078-86a1-924ccebf1069,00-0039868,0.0,0.0,8.0,0.0,2.0,28.0,263.0,2.0,53.0,0.0,0.0,12.0,0.0,5.0,65.0,709.0,6.0,104.0,0.375,0.0965391621129326,0.5958823529411765,0.1780821917808219,170.8,170.8,171.0,10.0,2 out of 5 stars,96.6,96.37,11.702463827273396,108.0724638272734,108.0724638272734,-103.09139149921636,33.0,7.278787878787878,6.584961919772088,0.0909090909090909,0.5757575757575758,0.9046783653308864,False,,0.9452941176470588,78.09239398547844,136.93551037972335,62.60917744040185,156.80792578709128,0.0004,0.00335,0.01635,0.0,0.00965,0.99035,80.29603221318683,132.65373703713126,8.481176470588236,-0.9047058823529417,False,Sustainable
Eric Tomlinson,TE,,32.0,,Active,10.0,2755,2511973.0,28658.0,b3d7169b-9cf6-4fea-815a-26e4fb0ec16a,00-0031690,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,4.0,,,,,,,,,,0.2311111111111111,0.0081466395112016,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Hunter Renfrow,WR,,30.0,,Active,7.0,5955,3135321.0,31981.0,34c523c7-bc58-49f0-a9cc-f9edd91fe00f,00-0034983,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,15.0,89.0,2.0,26.0,,,0.4916666666666667,0.0541666666666666,170.0,170.0,,,,,,,,,,,,,,,,True,,0.7391176470588235,,,,,,,,,,,,,,,True,
Jam Miller,RB,NE,,11.0,Active,0.0,13403,,,e7144c4a-1dd7-4474-b033-ad06e08f1745,MIL303300,,,,,,,,,,,,,,,,,,,,,,,170.0,170.0,429.0,15.0,2 out of 5 stars,26.1,26.1,5.920017531927474,32.02001753192748,32.02001753192748,-176.33323544151773,,,,,,,True,245.0,,17.783904017800438,39.92917791952772,13.29233058022904,48.632072721428486,0.0,0.0,5e-05,0.0,0.0,1.0,19.497386573666137,38.51003862603992,,,False,
Jeremiyah Love,RB,ARI,21.0,14.0,Active,0.0,13287,,,ca61f1e4-5a51-45b8-b8e3-f6564d9c2648,LOV121782,,,,,,,,,,,,,,,,,,,,,,,18.4,18.4,36.0,5.0,2 out of 5 stars,255.7,255.62000000000003,53.26572708186954,293.8293302450019,308.88572708186956,85.47607727155673,,,,,,,True,3.0,,189.21587050766905,425.14182935225665,139.0976895499784,515.1916539623127,0.45935,0.24685,0.1519,0.1818,0.79215,0.20785,209.54359513402204,410.0863559392636,,,False,
Dante Miller,RB,NYG,27.0,8.0,Active,2.0,11654,,,6e0c07b0-f42a-11ee-88d0-f12fe77edfe4,00-0039230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.005,0.0,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
