full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Jordan Matthews,TE,,32.0,,Active,11.0,1800,16763.0,27570.0,7b96a836-666b-47b6-a0a7-9dbb0b4c53e8
Jordan Wilkins,RB,,29.0,,Active,5.0,5100,3051891.0,31139.0,070850a3-7387-4836-b3eb-b1c8f8731aab
Hunter Kampmoyer,TE,,26.0,,Active,3.0,7938,,,d6e66d88-b014-4de0-84af-45358dc4bda0
Josh Kelly,WR,HOU,25.0,,Active,1.0,12848,,,24e3eab0-23d8-11f0-addb-1faae35f163c
Jake Tonges,TE,SF,27.0,,Active,4.0,8698,,,8d9236c0-ce09-11ec-9598-03840dd5f387
Josh Ferguson,RB,,28.0,,Active,6.0,3453,2576165.0,29599.0,1bdc067c-6376-4c35-b9f8-cebbb1ad595f
Kalif Phillips,RB,,27.0,,Active,5.0,4385,3059488.0,30618.0,6c94dde8-296a-4bc9-8c44-052a109dce92
Steven Montez,QB,,26.0,,Active,3.0,7013,3915436.0,33207.0,d446443f-130c-4bce-a300-a15cf66f27f1
T.J. Vasher,WR,,24.0,,Active,1.0,7862,,,3bedede2-77a8-4dd7-bc43-137c0ff08153
Max Duggan,QB,,23.0,,Active,1.0,10233,,,a7ef9eec-dab5-4321-a836-af3d085b4ba4
Theo Riddick,RB,,30.0,,Injured Reserve,9.0,1517,15994.0,26822.0,62d4e94c-443f-44ed-9404-c6d6bdd9aa64
Brandon Dillon,TE,,26.0,,Inactive,4.0,6279,4411192.0,32142.0,c1576aca-1bd1-4b9f-ba83-10235f1e2eca
C.J. Conrad,TE,,25.0,,Active,3.0,6501,3915230.0,32352.0,16551ae2-a27c-4c2d-aa48-0fce4fde68a8
Mark Chapman,WR,,,,Active,4.0,5776,3044693.0,31773.0,e2adb182-22f9-420d-8469-b84b04d9dc19
Brandon Cottom,RB,,29.0,,Active,7.0,2948,2576403.0,29110.0,dd897146-357c-45d4-8124-b742910d868a
Ke'Shawn Williams,WR,CIN,24.0,,Active,1.0,12971,,,11cb1f60-2519-11f0-8e0d-19c15eb22c2e
