full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,overall_rank,pos_rank,pos_label,rank_ecr,rank_composite,value_gap,market,risk_tier
Josh Jacobs,RB,GB,28.0,11.0,Active,7.0,5850,4047365.0,31856.0,61694ab9-b099-408e-b48d-6a643dd069ec,00-0035700,0.0,0.0,1329.0,15.0,301.0,36.0,342.0,1.0,43.0,0.0,0.0,929.0,13.0,234.0,36.0,282.0,1.0,44.0,0.634,0.093,0.591,0.096,42.0,42.0,45.0,5.0,4 out of 5 stars,256.9,256.82,57.237,314.057,87.412,32.0,16.881,7.601,0.406,0.094,0.45,False,,0.823,222.001,399.271,168.244,451.705,0.422,0.326,0.146,0.078,0.838,0.162,21,12,RB12,30,21,21.0,VALUE,Injury Risk
Breece Hall,RB,NYJ,25.0,13.0,Active,4.0,8155,,,db1053d7-3343-43a3-9aab-8353f10f1221,00-0038120,0.0,0.0,876.0,5.0,209.0,57.0,483.0,3.0,76.0,4.0,1.0,1065.0,4.0,243.0,36.0,350.0,1.0,48.0,0.724,0.129,0.644,0.102,28.5,30.0,40.0,5.0,3 out of 5 stars,253.6,253.3,59.206,312.506,85.861,32.0,14.205,7.979,0.219,0.188,0.562,False,,0.92,240.643,388.799,196.252,436.218,0.415,0.382,0.124,0.061,0.885,0.115,23,13,RB13,29,22,7.0,fair,Balanced
Josh Allen,QB,BUF,30.0,7.0,Active,8.0,4984,3918298.0,30977.0,3069db07-aa43-4503-ab11-2ae5c0002721,00-0034857,3731.0,28.0,531.0,12.0,102.0,0.0,7.0,1.0,0.0,3668.0,25.0,579.0,14.0,112.0,0.0,0.0,0.0,0.0,0.891,,0.922,,28.5,27.0,23.0,4.0,3 out of 5 stars,372.1,415.65,32.592,448.242,81.326,32.0,26.739,12.185,0.656,0.156,0.456,False,,0.952,356.755,549.19,302.55,612.305,0.759,0.173,0.058,0.324,0.759,0.241,25,1,QB1,25,23,2.0,fair,Balanced
A.J. Brown,WR,NE,29.0,11.0,Active,7.0,5859,4047646.0,31883.0,a9e580f2-1fbe-46fb-887c-c84089b507e4,00-0035676,0.0,0.0,0.0,0.0,0.0,67.0,1079.0,7.0,97.0,0.0,0.0,0.0,0.0,0.0,78.0,1003.0,7.0,121.0,0.866,0.232,0.907,0.261,20.0,20.0,15.0,3.0,2 out of 5 stars,257.4,257.13,28.76,285.89,78.027,28.0,15.614,8.36,0.321,0.143,0.535,False,,0.897,217.681,357.433,176.477,400.556,0.386,0.299,0.152,0.076,0.837,0.163,28,10,WR10,22,24,-8.0,fair,Balanced
Jeremiyah Love,RB,ARI,21.0,14.0,Active,0.0,13287,,,ca61f1e4-5a51-45b8-b8e3-f6564d9c2648,LOV121782,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,36.0,5.0,2 out of 5 stars,255.7,255.62,54.984,310.604,83.959,,,,,,,True,3.0,,200.018,449.413,147.039,544.603,0.441,0.254,0.164,0.168,0.79,0.21,24,14,RB14,28,25,1.0,fair,unknown
Chris Olave,WR,NO,26.0,8.0,Active,4.0,8144,,,2375d572-a36c-4365-bb3f-87e156526e2f,00-0037239,0.0,0.0,7.0,0.0,1.0,32.0,400.0,1.0,44.0,0.0,0.0,-3.0,0.0,1.0,100.0,1163.0,9.0,156.0,0.618,0.085,0.843,0.276,28.5,29.0,18.0,3.0,3 out of 5 stars,257.3,257.34,29.637,286.977,79.114,24.0,14.446,8.503,0.25,0.208,0.589,False,,0.839,202.161,363.567,154.331,413.13,0.386,0.259,0.143,0.095,0.788,0.212,27,9,WR9,24,26,2.0,fair,Injury Risk
Kenneth Walker,RB,KC,25.0,5.0,Active,4.0,8151,,,22ee9bac-a64c-4d44-94fc-51d775465b3b,00-0038134,0.0,0.0,573.0,7.0,153.0,46.0,299.0,1.0,53.0,0.0,0.0,1027.0,5.0,221.0,31.0,282.0,0.0,36.0,0.633,0.093,0.469,0.079,16.0,17.0,30.0,4.0,3 out of 5 stars,252.1,251.8,55.349,307.149,80.504,28.0,13.325,7.259,0.179,0.143,0.545,False,,0.85,220.421,388.143,170.056,438.913,0.394,0.344,0.157,0.064,0.837,0.163,26,15,RB15,27,27,-9.0,fair,Injury Risk
George Pickens,WR,DAL,25.0,14.0,Active,4.0,8137,,,018e8f25-54e5-44f1-967a-7ff237f1c52f,00-0037247,0.0,0.0,-6.0,0.0,2.0,59.0,900.0,3.0,103.0,0.0,0.0,0.0,0.0,0.0,93.0,1429.0,9.0,137.0,0.802,0.224,0.811,0.226,24.0,24.0,16.0,3.0,2 out of 5 stars,252.4,252.31,28.888,281.198,73.335,31.0,14.719,8.591,0.226,0.161,0.584,False,,0.933,215.657,348.59,177.711,391.423,0.349,0.315,0.168,0.064,0.833,0.167,29,11,WR11,26,28,-5.0,fair,Balanced
Nico Collins,WR,HOU,27.0,8.0,Active,5.0,7569,,,bd56a50c-5fae-4ee2-8363-f74ae07b6887,00-0036554,0.0,0.0,0.0,0.0,0.0,68.0,1006.0,7.0,99.0,0.0,0.0,15.0,1.0,2.0,71.0,1117.0,6.0,120.0,0.662,0.181,0.772,0.217,23.0,23.0,12.0,3.0,3 out of 5 stars,248.7,249.3,29.005,278.305,70.442,27.0,16.178,6.764,0.296,0.037,0.418,False,,0.862,207.822,346.329,161.618,390.621,0.35,0.288,0.167,0.061,0.804,0.196,30,12,WR12,23,29,-7.0,fair,Safe
Rashee Rice,WR,KC,26.0,5.0,Active,3.0,10229,,,cbd73c09-da07-48b0-a0d6-f248dfa631b6,00-0039067,0.0,0.0,1.0,0.0,1.0,24.0,288.0,2.0,29.0,0.0,0.0,20.0,1.0,5.0,53.0,571.0,5.0,78.0,0.602,0.051,0.749,0.142,27.0,26.0,22.0,4.0,2 out of 5 stars,273.2,273.57,31.359,304.929,97.066,12.0,17.75,9.005,0.417,0.083,0.507,False,,0.697,157.321,424.944,93.87,496.15,0.458,0.15,0.092,0.207,0.699,0.301,18,7,WR7,18,30,8.0,fair,Injury Risk
