sleeper_id,full_name,position,team,status,injury_status,injury_body_part,injury_start_date,injury_notes,news_updated,depth_chart_position,depth_chart_order,adp_ppr,adp_std,adp_half_ppr,adp_2qb,proj_pts_ppr,proj_pts_std,proj_rush_yds,proj_rush_att,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,proj_rush_td,proj_pass_yds,proj_pass_td,proj_pass_int,proj_pass_att,nn
5224,Taj Williams,WR,,Active,,,,,1534818323418.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,taj williams
4600,Noel Thomas,WR,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,noel thomas
5131,Justin Jackson,RB,,Active,,,,,1691693422249.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,justin jackson
12939,Anthony Tyus,RB,CAR,Active,,,,,1769061344113.0,RB,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,anthony tyus
11548,Aaron Dykes,RB,,Active,,,,,1693347010221.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,aaron dykes
4326,Bug Howard,TE,,Inactive,,,,,1661950556448.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,bug howard
7109,Malcolm Perry,WR,,Active,,,,,1658593523911.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,malcolm perry
12226,Lorenzo Lingard,RB,,Active,,,,,1724610933543.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,lorenzo lingard
8129,Dameon Pierce,RB,PHI,Active,,,,,1778602851886.0,RB,4.0,999.0,999.0,999.0,999.0,21.8,18.8,106.0,25.0,3.0,22.0,,,1.0,,,,,dameon pierce
3467,Taylor Bertolet,K,,Inactive,,,,,1674522320550.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,taylor bertolet
5272,Greg Joseph,K,,Active,,,,,1764720625268.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,greg joseph
8685,John Mitchell,TE,,Active,,,,,1652627434414.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,john mitchell
13281,Jordyn Tyson,WR,NO,Active,,,,,1785591642178.0,RWR,2.0,69.0,69.8,71.6,86.9,178.6,112.6,10.0,2.0,66.0,816.0,5.0,,,,,,,jordyn tyson
8437,Thomas Hennigan,WR,,Active,,,,,1679433321840.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,thomas hennigan
6595,Devlin Hodges,QB,,Active,,,,,1650857451003.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,devlin hodges
8173,ZaQuandre White,RB,,Active,,,,,1666041635061.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,zaquandre white
8243,DeAndre Torrey,RB,,Active,,,,,1661288732015.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,deandre torrey
11581,MarShawn Lloyd,RB,GB,Active,,,,,1786058706848.0,RB,3.0,999.0,999.0,999.0,999.0,51.8,44.8,281.0,68.0,7.0,47.0,,,2.0,,,,,marshawn lloyd
13303,Cade Klubnik,QB,NYJ,Active,,,,,1785375914332.0,QB,2.0,999.0,999.0,999.0,275.6,24.0,24.0,20.0,5.0,,,,,,400.0,2.0,2.0,61.0,cade klubnik
559,Tim Tebow,TE,,Inactive,,,,,1629216944801.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tim tebow
5754,Jaeden Graham,TE,,Inactive,,,,,1662176716765.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jaeden graham
8201,Jack Coan,QB,,Active,,,,,1661793046960.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jack coan
13962,Cameron Dorner,WR,NE,Active,,,,,1778286643226.0,SWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,cameron dorner
5032,Jordan Akins,TE,,Active,,,,,1760396425347.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jordan akins
4080,Zay Jones,WR,,Active,,,,,1785201650832.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,zay jones
4147,Samaje Perine,RB,CIN,Active,,,,,1784988002368.0,RB,2.0,999.0,999.0,999.0,999.0,57.6,45.6,251.0,60.0,12.0,85.0,,,2.0,,,,,samaje perine
5837,Redford Jones,K,,Active,,,,,1557100507499.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,redford jones
14058,Malick Meiga,WR,CAR,Active,,,,,1780954832521.0,SWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,malick meiga
4997,Mark Walton,RB,,Active,,,,,1589386810022.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,mark walton
3418,Mekale McKay,WR,,Active,,,,,1555509960789.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,mekale mckay
4728,Bart Houston,QB,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,bart houston
11312,T.J. Luther,WR,,Active,,,,,1756168206686.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,t j luther
12538,Brady Cook,QB,NYJ,Active,,,,,1779995442109.0,QB,3.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,brady cook
