espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
-16024,Chargers D/ST,DEF,24,162.4,-0.02,45.08,39.07,,,,,,,,,,,,,,,chargers d st
-16025,49ers D/ST,DEF,25,168.43,0.01,7.81,4.22,,,,,,,,,,,,,,,49ers d st
-16026,Seahawks D/ST,DEF,26,107.77,0.17,97.71,86.68,979.86601628,,,,,,,,,,,,,,seahawks d st
-16027,Buccaneers D/ST,DEF,27,169.34,0.07,8.4,5.81,,,,,,,,,,,,,,,buccaneers d st
-16028,Commanders D/ST,DEF,28,169.52,0.07,1.32,0.81,,,,,,,,,,,,,,,commanders d st
-16029,Panthers D/ST,DEF,29,169.66,0.04,1.97,1.12,,,,,,,,,,,,,,,panthers d st
3914151,Josiah Deguara,TE,25,170.0,0.0,0.01,0.0,,,,,,,,,,,,,,,josiah deguara
-16030,Jaguars D/ST,DEF,30,166.07,-0.11,57.98,51.84,,,,,,,,,,,,,,,jaguars d st
-16033,Ravens D/ST,DEF,33,132.57,0.32,86.54,74.21,955.3047681,,,,,,,,,,,,,,ravens d st
-16034,Texans D/ST,DEF,34,92.33,0.27,98.74,82.54,924.07161677,,,,,,,,,,,,,,texans d st
4569587,Wan'Dale Robinson,WR,10,116.35,-0.29,83.06,5.01,,4.053,22.421,0.149,78.851,817.403,1.909,,,,,,,,wan dale robinson
2980238,Alonzo Russell,WR,0,,,,,,,,,,,,,,,,,,,alonzo russell
14778,Derrick Jones,WR,0,,,,,,,,,,,,,,,,,,,derrick jones
14782,James McCluskey,RB,0,,,,,,,,,,,,,,,,,,,james mccluskey
4569609,Evan Hull,RB,22,169.99,0.0,0.02,0.01,,,,,,,,,,,,,,,evan hull
4569603,Malik Washington,WR,15,170.15,-0.03,3.67,0.4,,12.883,77.465,0.434,41.025,432.058,1.569,,,,,,,,malik washington
4258189,Oliver Martin,WR,0,,,,,,,,,,,,,,,,,,,oliver martin
4258190,Ben Mason,RB,0,,,,,,,,,,,,,,,,,,,ben mason
4258195,Donovan Peoples-Jones,WR,0,,,,,,,,,,,,,,,,,,,donovan peoples jones
3914240,Tyler Davis,TE,0,,,,,,,,,,,,,,,,,,,tyler davis
4241820,Sam Ehlinger,QB,7,169.99,0.0,0.02,0.01,,,,,,,,,,,,,,,sam ehlinger
4045305,Ian Thomas,TE,13,169.99,0.0,0.04,0.01,,,,,3.789,35.902,0.151,,,,,,,,ian thomas
4241822,Chris Naggar,K,0,,,,,,,,,,,,,,,,,,,chris naggar
14816,Kai Forbath,K,0,,,,,,,,,,,,,,,,,,,kai forbath
14818,Kevin Cone,WR,15,,,,,,,,,,,,,,,,,,,kevin cone
3078660,Joe Callahan,QB,0,,,,,,,,,,,,,,,,,,,joe callahan
14820,Chase Reynolds,RB,14,,,,,,,,,,,,,,,,,,,chase reynolds
4045291,Taysir Mack,WR,0,,,,,,,,,,,,,,,,,,,taysir mack
4569507,Cade McDonald,WR,0,,,,,,,,,,,,,,,,,,,cade mcdonald
4569510,John Jackson,WR,0,,,,,,,,,,,,,,,,,,,john jackson
4258235,Whop Philyor,WR,0,,,,,,,,,,,,,,,,,,,whop philyor
4569535,Jacob Clark,QB,13,,,,,,,,,,,,,,,,,,,jacob clark
4258238,Ty Fryfogle,WR,0,,,,,,,,,,,,,,,,,,,ty fryfogle
5208518,Charlie Smyth,K,18,170.06,0.0,1.74,1.34,,,,,,,,,,,,30.636,36.04,31.534,charlie smyth
14851,Terrelle Pryor Sr.,WR,0,,,,,,,,,,,,,,,,,,,terrelle pryor
14852,Caleb King,RB,0,,,,,,,,,,,,,,,,,,,caleb king
4258248,Peyton Hendershot,TE,0,170.0,0.0,0.01,0.0,,,,,,,,,,,,,,,peyton hendershot
4569682,Audric Estime,RB,18,169.99,0.0,0.1,0.01,,,,,,,,,,,,,,,audric estime
3914307,Maurice Alexander,WR,3,170.0,0.0,0.02,0.0,,,,,,,,,,,,,,,maurice alexander
4373077,Malik Knowles,WR,0,,,,,,,,,,,,,,,,,,,malik knowles
14870,Will Johnson,RB,19,,,,,,,,,,,,,,,,,,,will johnson
