name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Oronde Gadsden,TE,LAC,156.8,114,179,22.1,6,7,oronde gadsden
James Conner,RB,ARI,157.0,86,185,33.4,9,14,james conner
Eddy Piñeiro,PK,SF,157.0,114,191,17.3,57,8,eddy pi eiro
De'Zhaun Stribling,WR,SF,157.1,110,202,18.3,75,8,de zhaun stribling
Kaelon Black,RB,SF,157.2,124,176,19.1,13,8,kaelon black
Antonio Williams,WR,WAS,157.2,126,180,12.0,70,7,antonio williams
Kenyon Sadiq,TE,NYJ,157.5,115,209,20.0,39,13,kenyon sadiq
Juwan Johnson,TE,NO,157.5,113,189,18.6,44,8,juwan johnson
Pittsburgh Defense,DEF,PIT,157.7,120,187,14.2,320,9,pittsburgh defense
Washington Defense,DEF,WAS,157.8,100,189,34.6,5,7,washington defense
Hunter Henry,TE,NE,157.9,116,183,19.1,54,11,hunter henry
Dalton Schultz,TE,HOU,158.1,132,193,25.1,9,8,dalton schultz
C.J. Stroud,QB,HOU,159.0,124,180,13.1,78,8,c j stroud
Malik Willis,QB,MIA,159.2,123,181,13.7,85,6,malik willis
Jordan James,RB,SF,159.4,145,176,11.4,5,8,jordan james
Cooper Kupp,WR,SEA,159.7,127,180,12.3,86,11,cooper kupp
Tyler Loop,PK,BAL,159.7,121,179,14.8,91,13,tyler loop
Tennessee Defense,DEF,TEN,159.8,127,184,12.5,165,9,tennessee defense
Jalen Nailor,WR,LV,160.0,126,180,12.9,93,13,jalen nailor
Charlie Smyth,PK,NO,160.3,137,171,16.6,6,8,charlie smyth
Adonai Mitchell,WR,NYJ,160.4,140,180,12.1,19,13,adonai mitchell
Chris Rodriguez Jr.,RB,JAX,160.5,111,206,20.4,96,7,chris rodriguez
Daniel Jones,QB,IND,160.6,114,180,17.9,56,13,daniel jones
Ray Davis,RB,BUF,160.7,146,177,10.4,20,7,ray davis
Tyler Allgeier,RB,ARI,161.5,109,207,20.2,112,14,tyler allgeier
Brandon Aiyuk,WR,SF,162.0,113,179,25.1,6,8,brandon aiyuk
Brian Robinson Jr.,RB,ATL,162.1,120,191,18.7,34,11,brian robinson
Mike Washington Jr.,RB,LV,162.2,132,209,21.2,11,13,mike washington
Samaje Perine,RB,CIN,163.0,116,181,23.2,7,6,samaje perine
Isaac TeSlaa,WR,DET,163.0,94,180,26.2,10,6,isaac teslaa
Brenton Strange,TE,JAX,163.3,127,183,14.3,54,7,brenton strange
Cam Little,PK,JAX,163.4,119,209,16.7,179,7,cam little
Travis Hunter,WR,JAX,163.4,139,181,12.6,77,7,travis hunter
Justice Hill,RB,BAL,163.5,150,179,8.8,22,13,justice hill
Dylan Sampson,RB,CLE,163.5,124,180,16.0,33,11,dylan sampson
Will Reichard,PK,MIN,163.6,115,209,20.2,55,6,will reichard
Jaydon Blue,RB,DAL,163.7,120,207,20.7,27,14,jaydon blue
Harrison Butker,PK,KC,164.1,124,207,15.4,121,5,harrison butker
Emari Demercado,RB,KC,164.2,157,180,9.5,8,5,emari demercado
Germie Bernard,WR,PIT,164.6,147,180,9.5,21,9,germie bernard
Chig Okonkwo,TE,WAS,164.7,116,193,19.4,43,7,chig okonkwo
Omar Cooper Jr.,WR,NYJ,165.1,128,180,13.9,64,13,omar cooper
Las Vegas Defense,DEF,LV,165.2,101,190,36.3,5,13,las vegas defense
Buffalo Defense,DEF,BUF,165.8,128,210,14.4,271,7,buffalo defense
Cyrus Allen,WR,KC,166.3,148,180,13.7,10,5,cyrus allen
Dallas Defense,DEF,DAL,167.1,128,180,15.0,30,14,dallas defense
Aaron Rodgers,QB,PIT,167.3,157,177,9.2,6,9,aaron rodgers
Kimani Vidal,RB,LAC,167.5,127,180,17.1,8,7,kimani vidal
Fernando Mendoza,QB,LV,168.0,146,179,14.5,7,13,fernando mendoza
Evan McPherson,PK,CIN,168.3,127,210,15.8,63,6,evan mcpherson
Demond Claiborne,RB,MIN,168.4,140,197,28.5,5,6,demond claiborne
Kayshon Boutte,WR,NE,168.8,124,204,16.8,45,11,kayshon boutte
