fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-overall.php,best-overall,bo,Emeka Egbuka,23062,WR,TB,37.0,4.2,33,45,,emeka-egbuka.php,,,96.3,,,,,,10.0,Emeka Egbuka,2026-07-31,TBB
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tee Higgins,19211,WR,CIN,37.4,4.41,31,43,,tee-higgins.php,,,97.6,,,,,,6.0,Tee Higgins,2026-07-31,CIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Garrett Wilson,23072,WR,NYJ,38.2,3.06,33,42,,garrett-wilson.php,,,97.3,,,,,,13.0,Garrett Wilson,2026-07-31,NYJ
/nfl/rankings/best-ball-overall.php,best-overall,bo,Malik Nabers,25409,WR,NYG,39.2,6.01,30,44,,malik-nabers.php,,,98.2,,,,,,8.0,Malik Nabers,2026-07-31,NYG
/nfl/rankings/best-ball-overall.php,best-overall,bo,Ladd McConkey,26122,WR,LAC,40.0,7.77,34,55,,ladd-mcconkey.php,,,95.9,,,,,,7.0,Ladd McConkey,2026-07-31,LAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Colston Loveland,26006,TE,CHI,41.8,13.59,26,65,,colston-loveland.php,,,98.6,,,,,,10.0,Colston Loveland,2026-07-31,CHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jaylen Waddle,19790,WR,DEN,41.8,1.72,39,44,,jaylen-waddle.php,,,95.7,,,,,-6.0,10.0,Jaylen Waddle,2026-07-31,DEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Travis Etienne Jr.,19231,RB,NO,42.6,9.89,33,57,,travis-etienne.php,,,96.1,,,,,,8.0,Travis Etienne,2026-07-31,NOS
/nfl/rankings/best-ball-overall.php,best-overall,bo,Josh Jacobs,18269,RB,GB,43.0,7.77,32,52,,josh-jacobs.php,,,98.7,,,,,,11.0,Josh Jacobs,2026-07-31,GBP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Terry McLaurin,18466,WR,WAS,45.8,4.12,40,52,,terry-mclaurin.php,,,95.3,,,,,,7.0,Terry McLaurin,2026-07-31,WAS
/nfl/rankings/best-ball-overall.php,best-overall,bo,Luther Burden III,27016,WR,CHI,47.0,2.9,42,51,,luther-burden-iii.php,,,93.8,,,,,,10.0,Luther Burden,2026-07-31,CHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Mike Evans,12119,WR,SF,48.6,4.03,45,54,,mike-evans.php,,,93.0,,,,,,8.0,Mike Evans,2026-07-31,SFO
