full_name,position,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,pass_att,pass_yds,pass_td,pass_int,fg_made,fg_att,pat_made
Rachaad White,RB,134.701,566.706,5.074,46.67,293.174,1.859,,,,,,,
Xavier Smith,WR,,,,3.587,44.395,0.325,,,,,,,
Tyler Loop,K,,,,,,,,,,,29.278,34.448,44.44
Derrick Henry,RB,317.006,1482.057,13.114,21.404,210.532,1.206,,,,,,,
Andrew Beck,RB,,,,4.195,28.23,0.221,,,,,,,
Kenneth Walker III,RB,276.081,1233.342,9.036,48.267,375.399,1.681,,,,,,,
Zane Gonzalez,K,,,,,,,,,,,29.603,34.206,24.057
Austin Hooper,TE,,,,20.531,181.036,0.826,,,,,,,
Kendre Miller,RB,12.895,54.77,0.297,,,,,,,,,,
Treylon Burks,WR,,,,28.297,393.632,2.291,,,,,,,
Will Reichard,K,,,,,,,,,,,30.685,34.511,34.036
Adam Trautman,TE,,,,11.706,112.984,0.965,,,,,,,
Matthew Stafford,QB,27.043,39.416,0.587,,,,557.785,4281.868,34.926,9.685,,,
Max Bredeson,RB,2.025,8.471,0.06,4.5,29.44,0.167,,,,,,,
Nick Mullens,QB,1.098,3.387,0.028,,,,23.671,179.324,1.13,0.846,,,
Drew Allar,QB,1.295,5.645,0.054,,,,22.994,160.125,0.852,0.497,,,
Barion Brown,WR,,,,3.275,39.898,0.188,,,,,,,
Christian Kirk,WR,,,,3.14,42.0,0.278,,,,,,,
Tee Higgins,WR,,,,73.102,955.277,8.331,,,,,,,
Travis Etienne Jr.,RB,257.894,1119.982,6.092,44.613,376.482,2.059,,,,,,,
LeQuint Allen Jr.,RB,8.033,33.91,0.193,21.679,148.009,0.844,,,,,,,
Emeka Egbuka,WR,2.183,11.904,0.102,69.667,1128.323,7.494,,,,,,,
Darius Cooper,WR,,,,3.251,37.687,0.252,,,,,,,
Sam Darnold,QB,44.074,125.592,0.849,,,,512.668,4013.374,24.044,12.353,,,
Jaylen Wright,RB,55.826,233.063,1.071,7.472,55.962,0.193,,,,,,,
Tommy DeVito,QB,1.867,9.496,0.067,,,,22.514,149.835,0.987,0.408,,,
Malachi Fields,WR,,,,13.216,157.513,0.891,,,,,,,
Justin Joly,TE,,,,4.02,37.74,0.299,,,,,,,
Bryce Lance,WR,,,,16.363,204.38,0.939,,,,,,,
Cyrus Allen,WR,,,,16.173,202.77,1.268,,,,,,,
Noah Gray,TE,,,,26.105,261.684,1.414,,,,,,,
Malik Davis,RB,44.228,192.209,1.417,4.145,29.553,0.158,,,,,,,
Pat Bryant,WR,,,,28.423,319.64,2.105,,,,,,,
Colbie Young,WR,,,,3.497,43.207,0.332,,,,,,,
Deebo Samuel,WR,22.114,109.359,1.14,54.915,734.872,4.393,,,,,,,
Ryan Fitzgerald,K,,,,,,,,,,,27.52,32.468,28.855
Kenny Gainwell,RB,117.867,522.465,4.609,52.136,342.456,2.049,,,,,,,
Xavier Worthy,WR,12.362,75.917,0.593,55.5,787.817,4.587,,,,,,,
Kenny Pickett,QB,1.315,3.746,0.041,,,,22.556,153.693,0.859,0.471,,,
Mitchell Evans,TE,,,,15.028,144.203,0.947,,,,,,,
Skyler Bell,WR,,,,15.064,205.482,1.205,,,,,,,
RJ Harvey,RB,106.364,431.176,3.867,48.796,365.77,2.55,,,,,,,
Jake Moody,K,,,,,,,,,,,27.735,34.448,34.288
Juwan Johnson,TE,,,,63.505,637.002,2.747,,,,,,,
Saquon Barkley,RB,300.657,1287.005,8.71,43.125,371.115,2.295,,,,,,,
Luke Schoonmaker,TE,,,,11.422,110.213,0.893,,,,,,,
Jaylen Waddle,WR,2.045,12.139,0.081,76.653,991.18,6.003,,,,,,,
Nick Westbrook-Ikhine,WR,,,,21.645,269.584,1.975,,,,,,,
Riley Leonard,QB,1.237,5.422,0.078,,,,22.736,158.118,0.828,0.509,,,
Adam Prentice,RB,4.091,17.374,0.132,4.137,29.76,0.147,,,,,,,
Charlie Kolar,TE,,,,14.668,148.007,1.124,,,,,,,
Will Kacmarek,TE,,,,18.119,174.632,0.755,,,,,,,
Tyrod Taylor,QB,2.262,12.364,0.07,,,,19.967,136.12,0.856,0.516,,,
Hollywood Brown,WR,,,,18.605,233.138,1.519,,,,,,,
CeeDee Lamb,WR,2.211,12.585,0.105,103.895,1379.007,8.556,,,,,,,
Chuba Hubbard,RB,193.037,775.545,4.225,41.146,304.045,1.497,,,,,,,
Jordyn Tyson,WR,,,,67.517,917.609,5.007,,,,,,,
Dawson Knox,TE,,,,24.948,265.079,2.771,,,,,,,
Rhamondre Stevenson,RB,169.471,721.703,6.586,38.292,313.386,1.859,,,,,,,
Drew Sample,TE,,,,17.277,146.267,1.154,,,,,,,
Payne Durham,TE,,,,7.238,70.648,0.632,,,,,,,
Jerry Jeudy,WR,,,,51.366,708.584,2.711,,,,,,,
Mac Jones,QB,0.947,2.223,0.013,,,,22.361,145.697,0.945,0.564,,,
Brian Robinson Jr.,RB,134.648,561.183,3.688,8.733,59.086,0.29,,,,,,,
Tyrell Shavers,WR,,,,4.027,52.165,0.296,,,,,,,
DeVonta Smith,WR,,,,90.354,1129.445,6.016,,,,,,,
Tua Tagovailoa,QB,15.885,43.934,0.262,,,,301.745,2170.863,10.422,7.95,,,
Kendrick Bourne,WR,,,,22.769,239.373,0.669,,,,,,,
Nico Collins,WR,2.102,11.799,0.082,86.435,1210.591,6.719,,,,,,,
Keon Coleman,WR,,,,19.402,265.969,2.249,,,,,,,
Isaiah Williams,WR,2.172,12.698,0.105,3.77,35.821,0.135,,,,,,,
Jordan Whittington,WR,2.274,12.094,0.117,15.029,171.944,1.223,,,,,,,
Tommy Tremble,TE,,,,25.746,252.02,1.913,,,,,,,
Devaughn Vele,WR,,,,25.153,257.666,1.678,,,,,,,
Wan'Dale Robinson,WR,4.053,22.421,0.149,78.851,817.403,1.909,,,,,,,
Malik Washington,WR,12.883,77.465,0.434,41.025,432.058,1.569,,,,,,,
Ian Thomas,TE,,,,3.789,35.901,0.151,,,,,,,
Charlie Smyth,K,,,,,,,,,,,30.636,36.04,31.534
Kirk Cousins,QB,5.723,11.102,0.258,,,,118.08,832.62,4.163,2.667,,,
Garrett Wilson,WR,2.172,10.775,0.094,100.064,1163.533,5.115,,,,,,,
Ben Sims,TE,,,,6.973,65.358,0.328,,,,,,,
Connor Heyward,RB,4.183,17.554,0.121,3.954,28.894,0.159,,,,,,,
J.K. Dobbins,RB,212.727,994.315,6.771,17.109,104.788,0.662,,,,,,,
Eli Raridon,TE,,,,15.557,150.62,1.088,,,,,,,
Ashton Dulin,WR,4.194,26.443,0.175,20.281,248.893,1.139,,,,,,,
Jaylen Warren,RB,179.979,789.608,4.45,46.07,318.919,1.455,,,,,,,
British Brooks,RB,4.204,17.99,0.098,,,,,,,,,,
Cole Kmet,TE,,,,21.688,219.276,1.676,,,,,,,
Jaylin Lane,WR,,,,22.649,279.213,1.773,,,,,,,
Andre Szmyt,K,,,,,,,,,,,27.906,32.404,24.267
Jaylin Noel,WR,4.204,22.156,0.125,28.751,322.596,1.813,,,,,,,
Andy Borregales,K,,,,,,,,,,,25.377,30.634,41.898
Brock Wright,TE,,,,7.714,72.337,0.619,,,,,,,
Joshua Palmer,WR,,,,16.883,205.48,1.244,,,,,,,
Jonathan Taylor,RB,327.164,1510.33,11.613,51.309,380.54,1.408,,,,,,,
Jake Ferguson,TE,,,,73.204,599.143,5.839,,,,,,,
Terrance Ferguson,TE,,,,45.96,580.086,5.404,,,,,,,
Malik Willis,QB,105.594,545.204,3.366,,,,505.142,3554.226,13.038,10.386,,,
Davis Mills,QB,0.98,3.85,0.033,,,,23.452,146.382,0.793,0.554,,,
Tyler Allgeier,RB,97.415,385.112,3.323,18.1,125.871,0.393,,,,,,,
Hunter Henry,TE,,,,55.762,628.121,5.216,,,,,,,
Colby Parkinson,TE,,,,24.016,249.11,2.677,,,,,,,
Courtland Sutton,WR,,,,69.266,892.695,7.583,,,,,,,
Jason Myers,K,,,,,,,,,,,33.094,37.874,42.617
Khalil Shakir,WR,2.307,12.492,0.126,70.095,765.19,3.703,,,,,,,
Jahdae Walker,WR,,,,3.17,35.558,0.327,,,,,,,
Jake Tonges,TE,,,,13.159,134.999,1.055,,,,,,,
Jared Goff,QB,27.214,49.564,0.683,,,,543.98,4209.955,28.987,9.895,,,
Jack Bech,WR,,,,34.521,397.775,1.482,,,,,,,
