Rank,Player (Team / Bye),POS,AVG
130,Jacory Croskey-Merritt   WAS (7),RB41,129.0
131,Tyrone Tracy Jr.   NYG (8),RB42,129.0
132,Mark Andrews   BAL (13),TE14,130.0
133,Dallas Goedert   PHI (10),TE15,130.0
134,Stefon Diggs,WR56,135.0
135,Chris Rodriguez Jr.   JAC (7),RB43,136.5
136,C.J. Stroud   HOU (8),QB22,137.5
137,Cam Ward   TEN (9),QB23,137.5
138,Keaton Mitchell   LAC (7),RB44,139.0
139,Oronde Gadsden II   LAC (7),TE16,141.0
140,Sam Darnold   SEA (11),QB24,142.0
141,Woody Marks   HOU (8),RB45,143.0
142,Chig Okonkwo   WAS (7),TE17,143.5
143,Rashid Shaheed   SEA (11),WR57,143.5
144,Jalen McMillan   TB (10),WR58,145.0
145,Daniel Jones   IND (13),QB25,145.5
146,Juwan Johnson   NO (8),TE18,147.0
147,Isiah Pacheco   DET (6),RB46,149.0
148,Tyler Allgeier   ARI (14),RB47,149.5
149,Brenton Strange   JAC (7),TE19,153.0
150,Tre Tucker   LV (13),WR59,153.5
151,Dylan Sampson   CLE (11),RB48,153.5
152,Jauan Jennings   MIN (6),WR60,154.5
153,Bryce Young   CAR (5),QB26,156.0
154,Jalen Nailor   LV (13),WR61,157.0
155,Tyjae Spears   TEN (9),RB49,157.0
156,Hunter Henry   NE (11),TE20,158.0
157,Kenyon Sadiq   NYJ (13),TE21,159.0
158,Denzel Boston   CLE (11),WR62,160.0
159,Omar Cooper Jr.   NYJ (13),WR63,161.0
160,Zach Charbonnet   SEA (11),RB50,161.5
161,Jonah Coleman   DEN (10),RB51,162.0
162,Tre' Harris   LAC (7),WR64,166.0
163,Travis Hunter   JAC (7),WR65,168.0
164,Aaron Rodgers   PIT (9),QB27,168.0
165,T.J. Hockenson   MIN (6),TE22,168.5
166,Ryan Flournoy   DAL (14),WR66,169.0
167,Deebo Samuel Sr.,WR67,169.0
168,Tank Bigsby   PHI (10),RB52,171.5
169,Brian Robinson Jr.   ATL (11),RB53,173.0
170,Isaac TeSlaa   DET (6),WR68,173.5
171,Dalton Schultz   HOU (8),TE23,174.5
172,Alvin Kamara   NO (8),RB54,175.0
173,Antonio Williams   WAS (7),WR69,175.5
174,Fernando Mendoza   LV (13),QB28,176.0
175,Jacoby Brissett   ARI (14),QB29,176.5
176,Jerry Jeudy   CLE (11),WR70,177.0
177,Emmett Johnson   KC (5),RB55,178.5
178,Geno Smith   NYJ (13),QB30,180.0
179,Malik Washington   MIA (6),WR71,181.0
180,Adonai Mitchell   NYJ (13),WR72,182.0
181,Sean Tucker   TB (10),RB56,184.5
182,Kaytron Allen   WAS (7),RB57,184.5
183,AJ Barner   SEA (11),TE24,189.5
184,Greg Dulcich   MIA (6),TE25,191.0
185,Gunnar Helm   TEN (9),TE26,191.0
186,Zachariah Branch   ATL (11),WR73,195.0
187,Braelon Allen   NYJ (13),RB58,195.0
188,Brandon Aiyuk   SF (8),WR74,195.5
189,Ray Davis   BUF (7),RB59,196.0
190,Kimani Vidal   LAC (7),RB60,197.5
191,Calvin Ridley   TEN (9),WR75,198.0
192,Tua Tagovailoa   ATL (11),QB31,199.0
193,Mike Washington Jr.   LV (13),RB61,199.5
194,Nicholas Singleton   TEN (9),RB62,199.5
195,Cade Otton   TB (10),TE27,200.5
196,Pat Freiermuth   PIT (9),TE28,201.0
197,Darnell Mooney   NYG (8),WR76,205.5
198,Emanuel Wilson   SEA (11),RB63,207.5
199,Houston Texans DST   (8),DST1,138.0
200,Tank Dell   HOU (8),WR77,209.5
201,De'Zhaun Stribling   SF (8),WR78,210.0
202,Christian Kirk   SF (8),WR79,210.5
203,Los Angeles Rams DST   (11),DST2,146.0
204,Jordan James   SF (8),RB64,215.0
205,David Njoku   LAC (7),TE29,216.5
206,Seattle Seahawks DST   (11),DST3,154.0
207,Jaydon Blue   DAL (14),RB65,217.5
208,Dontayvion Wicks   PHI (10),WR80,218.0
209,Terrance Ferguson   LAR (11),TE30,218.0
210,Kayshon Boutte   NE (11),WR81,218.0
211,MarShawn Lloyd   GB (11),RB66,218.5
212,Troy Franklin   DEN (10),WR82,218.5
213,Denver Broncos DST   (10),DST4,161.0
214,Cooper Kupp   SEA (11),WR83,221.5
215,Demond Claiborne   MIN (6),RB67,221.5
216,Colby Parkinson   LAR (11),TE31,222.0
217,James Conner   ARI (14),RB68,222.5
218,Kaelon Black   SF (8),RB69,224.0
219,Deshaun Watson   CLE (11),QB32,227.0
220,New England Patriots DST   (11),DST5,177.0
221,Shedeur Sanders   CLE (11),QB33,230.5
222,Philadelphia Eagles DST   (10),DST6,181.0
223,George Holani   SEA (11),RB70,231.5
224,Michael Penix Jr.   ATL (11),QB34,231.5
225,Tyreek Hill,WR84,231.5
226,Jake Tonges   SF (8),TE32,232.0
227,Jacksonville Jaguars DST   (7),DST7,187.0
228,Minnesota Vikings DST   (6),DST8,189.0
229,Eli Stowers   PHI (10),TE33,235.0
230,Pittsburgh Steelers DST   (9),DST9,190.0
231,Germie Bernard   PIT (9),WR85,245.0
232,Los Angeles Chargers DST   (7),DST10,194.0
233,Baltimore Ravens DST   (13),DST11,198.0
234,Kirk Cousins   LV (13),QB35,240.0
235,Justice Hill   BAL (13),RB71,250.5
236,Jaylen Wright   MIA (6),RB72,242.0
237,Chicago Bears DST   (10),DST12,205.0
238,Cleveland Browns DST   (11),DST13,206.0
239,Ted Hurst III   TB (10),WR86,278.0
240,Mike Gesicki   CIN (6),TE34,281.0
